OBJECTID,YEAR_,STATE,AGENCY,UNIT_ID,TREATMENT_ID,TREATMENT_NAME,TREATMENT_TYPE,START_DATE,END_DATE,TREATED_AC,GIS_ACRES,RX_CONSUM,PRE_CON_CLASS,POST_CON_CLASS,SHAPE_Length,SHAPE_Area
10207,2005,CA,USF,MNF,0000000003221218,05 LITTLE STONY ,1,2005/09/30 00:00:00+00,2005/09/30 00:00:00+00,135.371442820891,135.36943,,,,4629.20931530313,914588.028291074
10208,2005,CA,USF,LNF,0000000003257174,04 AL QLG WARNER VALLEY DFPZ,1,2005/06/08 00:00:00+00,2005/06/08 00:00:00+00,30.194163030991,30.195272,,,,2181.07552872819,210634.052383948
10209,2004,CA,USF,LNF,0000000003238860,03 HC QLG PITTVILLE,1,2004/10/10 00:00:00+00,2004/10/10 00:00:00+00,1400.52508658732,1400.5643,,,,13222.9788758713,9889071.59070141
10210,2005,CA,USF,LNF,0000000003259418,03 QLG HC SOUTH STATION DFPZ,1,2005/05/05 00:00:00+00,2005/05/05 00:00:00+00,303.874196696113,303.88379,,,,7128.69537910856,2138395.41272823
10211,2005,CA,USF,LNF,0000000003245899,01 QLG HC BLACKS RIDGE,1,2005/04/01 00:00:00+00,2005/04/01 00:00:00+00,167.371201866877,167.37387,,,,8021.06784111217,1184329.35778578
10212,2005,CA,NPS,KNP,0000000000000010,ASH MTN RX,,2005/06/10 00:00:00+00,2005/10/03 00:00:00+00,19.33,19.331936,3,,,6201.30271796632,121270.509281861
10213,2005,CA,NPS,KNP,0000000000000011,GRANT G,,2005/06/28 00:00:00+00,2005/10/27 00:00:00+00,145.31,145.31262,3,,,4523.87526490186,917110.21571107
10214,2005,CA,NPS,KNP,0000000000000041,HIGHBRIDGE WEST,,2005/10/06 00:00:00+00,2005/12/06 00:00:00+00,1485.01,1485.4089,2,,,14315.6347035886,9314767.55058985
10215,2005,CA,NPS,KNP,0000000000000043,HIGHBRIDGE EAST,,2005/10/23 00:00:00+00,2005/12/06 00:00:00+00,851.62,851.85712,2,,,10341.9737527751,5340074.70562779
10216,2005,CA,NPS,LNP,0000000000001768,PROSPECT PEAK 1,,2005/06/05 00:00:00+00,2005/06/22 00:00:00+00,560,576.91119,2,,,10842.8729995436,4048565.84181116
10217,2005,CA,NPS,LNP,0000000000001768,PROSPECT PEAK 2,,2005/06/05 00:00:00+00,2005/07/05 00:00:00+00,480,410.8364,1,,,9227.61095982236,2883554.83332003
10218,2005,CA,NPS,LNP,0000000000004363,PROSPECT PEAK 3,,2005/10/21 00:00:00+00,2005/11/29 00:00:00+00,3046,3316.7727,2,,,23348.4450127543,23278197.9323356
10219,2004,CA,USF,SHF,0000000000000000,GREEN MOUNTAIN FMZ,,,2004/12/20 00:00:00+00,27.9304148984386,27.930529,,,,5088.37496430303,197397.668642083
10220,2004,CA,USF,SHF,0000000000000000,GREEN MOUNTAIN FMZ,,,2004/12/20 00:00:00+00,56.9414486703417,56.942829,,,,10274.3560606597,402256.301768499
10221,2004,CA,USF,SHF,0000000000000000,GREEN MOUNTAIN FMZ,,,2004/12/20 00:00:00+00,29.9218367297696,29.922626,,,,5418.90824614557,211427.301499836
10222,2004,CA,USF,SHF,0000000000000000,GREEM MOUNTAIN FMZ,,,2004/12/20 00:00:00+00,37.699463218623,37.701054,,,,4810.19249280524,266372.743642526
10223,2004,CA,USF,SHF,0000000000000000,GREEN MOUNTAIN FMZ,,,2004/12/20 00:00:00+00,38.0850086272449,38.086483,,,,6910.92658524076,268985.056612606
10224,2004,CA,USF,SHF,0000000000000000,GREEN MOUNTAIN FMZ,,,2004/12/20 00:00:00+00,26.0224126885423,26.023445,,,,4748.74181189983,183819.508794098
10225,2004,CA,USF,SHF,0000000000000000,GREEN MOUNTAIN FMZ,,,2004/12/20 00:00:00+00,30.1096703730995,30.108517,,,,5488.91657726097,212594.073760426
