PLOT,Fire_Year,SPECIES,MORT_DATE,DBH,CVS,FIRE_MORT_0_to_3_yr,POST_FIRE_BEETLE_MORT_5yr,N.neighbors.15m,N.neighbors.5m,N.conspecific.neighbors.15m,N.conspecific.neighbors.5m,Nearest.neighbor,HEGYI,BA.conspecifics.5m,BA.conspecifics.15m,BA.3m,BA.5m,BA.8m,BA.11m,BA.15m,BA.20m
CRCRPIPO,2009,ABCO,2010,1.5,100,1,NA,120,20,26,6,1.26,155.5170232,0.008,0.598,0.07,0.25,0.387,1.148,2.961,8.141
CRCRPIPO,2009,ABCO,2010,3.3,100,1,NA,221,11,101,3,1.4,94.25227003,0.001,1.142,0.087,0.209,0.581,2.435,5.377,9.486
CRCRPIPO,2009,ABCO,2010,1.9,100,1,NA,312,71,179,56,0.21,181.2329313,0.067,0.257,0.156,0.312,1.145,3.047,4.39,7.411
CRCRPIPO,2009,ABCO,2010,1.8,100,1,NA,314,71,180,55,0.21,194.7130019,0.067,0.258,0.155,0.314,1.27,3.038,4.391,7.414
CRCRPIPO,2009,ABCO,2010,1.4,100,1,NA,314,74,180,57,0.21,253.9661256,0.068,0.258,0.146,0.378,1.148,3.055,4.392,7.403
CRCRPIPO,2009,ABCO,2010,2.2,100,1,NA,315,70,182,51,0.32,161.2359962,0.064,0.26,0.163,0.367,1.41,2.586,4.204,8.045
CRCRPIPO,2009,ABCO,2010,2.2,100,1,NA,309,71,180,52,0.38,152.0256235,0.062,0.258,0.167,0.401,1.412,2.553,4.172,7.494
CRCRPIPO,2009,ABCO,2010,1.8,100,1,NA,297,74,169,56,0.59,202.4353368,0.076,0.24,0.177,0.547,1.267,2.582,4.405,8.831
CRCRPIPO,2009,ABCO,2010,1.3,100,1,NA,293,70,167,54,0.3,286.4020849,0.072,0.233,0.11,0.543,2.02,2.552,4.213,9.137
CRCRPIPO,2009,ABCO,2010,1.5,100,1,NA,301,72,174,54,0.24,248.1882428,0.063,0.249,0.191,0.535,1.996,2.591,4.244,8.35
CRCRPIPO,2009,ABCO,2010,2.1,100,1,NA,311,72,180,53,0.44,174.6733536,0.063,0.259,0.206,0.477,1.999,2.587,4.258,8.106
CRCRPIPO,2009,ABCO,2010,2.6,100,1,NA,309,67,178,45,0.32,140.4877091,0.054,0.253,0.19,0.381,1.655,2.562,4.078,8.725
CRCRPIPO,2009,ABCO,2010,2.8,100,1,NA,208,27,83,10,0.33,109.2803121,0.007,2.108,0.062,0.272,1.566,2.167,5.078,8.234
CRCRPIPO,2009,ABCO,2010,1.8,100,1,NA,246,39,135,23,1.24,179.8180263,0.047,0.819,0.808,0.982,1.682,2.569,4.891,8.251
CRCRPIPO,2009,ABCO,2010,2.5,100,1,NA,230,26,122,11,0.83,126.2938275,0.033,0.857,0.733,0.969,1.691,2.513,4.989,8.514
CRCRPIPO,2009,ABCO,2010,3.2,100,1,NA,250,33,151,18,0.33,115.0004603,0.027,1.366,0.305,0.702,1.221,2.591,5.308,9.428
CRCRPIPO,2009,ABCO,2010,3.6,100,1,NA,251,32,151,17,0.33,101.2379355,0.027,1.365,0.305,0.701,1.223,2.588,5.245,9.571
CRCRPIPO,2009,ABCO,2010,2.3,100,1,NA,298,48,168,40,0.34,169.5699002,0.052,0.248,0.118,0.528,1.608,2.663,4.604,9.934
CRCRPIPO,2009,CADE,2010,1.3,100,1,NA,168,10,38,6,1.89,263.4086492,0.102,0.895,0.188,0.823,1.802,2.861,6.743,11.87
CRCRPIPO,2009,ABCO,2010,2.2,100,1,NA,89,12,39,4,0.48,138.494762,0.026,2.424,0.033,0.261,0.496,1.134,3.514,6.702
CRCRPIPO,2009,CADE,2010,1.1,100,1,NA,97,0,50,0,5.05,277.3907892,0,1.403,0,0,0.271,0.962,2.708,9.266
CRCRPIPO,2009,QUKE,2010,1.8,100,1,NA,113,16,4,4,0.18,220.9158948,0.001,0.001,0.098,0.244,0.824,2.561,4.315,10.19
CRCRPIPO,2009,QUKE,2010,1.3,100,1,NA,112,16,4,4,0.25,294.0007463,0.001,0.001,0.056,0.244,0.783,2.585,4.153,10.203
CRCRPIPO,2009,CADE,2010,1.8,100,1,NA,111,14,20,3,1.21,174.8980791,0.169,1.054,0.013,0.375,0.809,1.921,4.944,9.44
CRCRPIPO,2009,CADE,2010,1.2,100,1,NA,87,9,23,8,0.52,267.4486879,0.003,0.29,0.002,0.069,1.723,2.343,5.246,11.598
CRCRPIPO,2009,ABCO,2010,2.1,100,1,NA,128,10,78,6,2.25,131.4861532,0.371,2.146,0.037,0.508,1.548,2.378,5.528,11.015
